pair,fast,slow,CAGR%,maxDD%,Sharpe,expo%,trades,win%,finalEq
WMA/SMA,20,30,145.9,-29.0,1.7,75.0,4,100.0,296362
WMA/SMA,20,40,126.1,-31.6,1.56,77.0,5,80.0,259013
WMA/SMA,20,50,139.6,-27.2,1.65,81.0,4,100.0,267899
WMA/SMA,20,75,141.8,-35.9,1.57,96.0,2,100.0,246936
WMA/SMA,20,100,185.4,-34.9,1.74,100.0,1,100.0,263147
WMA/SMA,30,40,101.9,-28.8,1.41,75.0,4,100.0,226865
WMA/SMA,30,50,84.9,-28.8,1.27,81.0,4,100.0,200094
WMA/SMA,30,75,153.8,-34.9,1.62,97.0,2,100.0,259511
WMA/SMA,30,100,185.4,-34.9,1.74,100.0,1,100.0,263147
WMA/WMA,5,20,130.9,-27.1,1.65,69.0,11,55.0,283591
WMA/WMA,5,30,155.9,-23.5,1.81,73.0,10,60.0,310984
WMA/WMA,5,40,217.6,-22.1,2.07,78.0,6,67.0,384956
WMA/WMA,5,50,147.1,-30.6,1.7,79.0,5,80.0,277433
WMA/WMA,5,75,97.5,-27.7,1.32,84.0,6,67.0,200756
WMA/WMA,5,100,93.8,-30.6,1.27,91.0,4,75.0,184160
WMA/WMA,10,20,69.3,-31.7,1.15,68.0,11,45.0,192613
WMA/WMA,10,30,164.8,-30.6,1.8,75.0,6,67.0,324067
WMA/WMA,10,40,144.0,-24.3,1.68,78.0,5,80.0,282997
WMA/WMA,10,50,133.3,-25.5,1.61,79.0,5,80.0,260052
WMA/WMA,10,75,102.1,-29.6,1.35,84.0,5,80.0,205583
WMA/WMA,10,100,92.1,-32.8,1.26,93.0,3,100.0,182646
WMA/WMA,15,20,152.2,-27.0,1.78,67.0,7,71.0,316579
WMA/WMA,15,30,161.9,-27.4,1.81,76.0,4,100.0,319777
WMA/WMA,15,40,142.3,-27.7,1.66,79.0,4,100.0,280776
WMA/WMA,15,50,95.1,-35.3,1.33,80.0,5,80.0,212580
WMA/WMA,15,75,57.1,-36.1,0.99,85.0,5,80.0,158782
WMA/WMA,15,100,134.6,-29.5,1.53,94.0,2,100.0,219633
WMA/WMA,20,30,134.1,-30.0,1.63,76.0,4,100.0,279325
WMA/WMA,20,40,147.4,-30.7,1.69,78.0,4,100.0,287653
WMA/WMA,20,50,132.1,-31.6,1.59,82.0,4,100.0,258465
WMA/WMA,20,75,89.9,-36.7,1.26,86.0,4,75.0,192819
WMA/WMA,20,100,108.0,-36.9,1.36,95.0,2,100.0,196540
WMA/WMA,30,40,119.3,-29.9,1.53,75.0,4,100.0,249949
WMA/WMA,30,50,103.1,-28.8,1.41,79.0,4,100.0,222350
WMA/WMA,30,75,105.7,-31.8,1.38,85.0,4,75.0,209306
WMA/WMA,30,100,104.7,-37.8,1.32,96.0,2,100.0,193672
