date,equity,pos,tsmx
2025-02-18,96791.52864964267,0,26.784
2025-02-19,96791.52864964267,0,26.3193
2025-02-20,96791.52864964267,0,26.0734
2025-02-21,96791.52864964267,0,25.5632
2025-02-24,96791.52864964267,0,23.8869
2025-02-25,96791.52864964267,0,23.2583
2025-02-26,96791.52864964267,0,24.5702
2025-02-27,96791.52864964267,0,21.1721
2025-02-28,96791.52864964267,0,21.0172
2025-03-03,96791.52864964267,0,19.2498
2025-03-04,96791.52864964267,0,20.7895
2025-03-05,96791.52864964267,0,21.7278
2025-03-06,96791.52864964267,0,19.7873
2025-03-07,96791.52864964267,0,19.9878
2025-03-10,96791.52864964267,0,18.5575
2025-03-11,96791.52864964267,0,18.603
2025-03-12,96791.52864964267,0,19.9331
2025-03-13,96791.52864964267,0,18.6941
2025-03-14,96791.52864964267,0,19.1861
2025-03-17,96791.52864964267,0,19.6962
2025-03-18,96791.52864964267,0,19.1041
2025-03-19,96791.52864964267,0,19.2134
2025-03-20,96791.52864964267,0,20.0606
2025-03-21,96791.52864964267,0,19.8875
2025-03-24,96791.52864964267,0,20.835
2025-03-25,96791.52864964267,0,20.8139
2025-03-26,96791.52864964267,0,19.0634
2025-03-27,96791.52864964267,0,17.9361
2025-03-28,96791.52864964267,0,17.2487
2025-03-31,96791.52864964267,0,17.3862
2025-04-01,96791.52864964267,0,17.9269
2025-04-02,96791.52864964267,0,18.3119
2025-04-03,96791.52864964267,0,15.5348
2025-04-04,96791.52864964267,0,13.4177
2025-04-07,96791.52864964267,0,13.2894
2025-04-08,96791.52864964267,0,12.382
2025-04-09,96791.52864964267,0,15.4707
2025-04-10,96791.52864964267,0,14.0134
2025-04-11,96791.52864964267,0,15.0766
2025-04-14,96791.52864964267,0,14.8108
2025-04-15,96791.52864964267,0,15.0857
2025-04-16,96791.52864964267,0,14.0043
2025-04-17,96791.52864964267,0,13.9493
2025-04-21,96791.52864964267,0,13.2619
2025-04-22,96791.52864964267,0,13.9126
2025-04-23,96791.52864964267,0,15.0308
2025-04-24,96791.52864964267,0,16.2589
2025-04-25,96791.52864964267,0,16.4422
2025-04-28,96791.52864964267,0,16.0664
2025-04-29,96791.52864964267,0,16.3414
2025-04-30,100536.68554249116,1,16.7171
2025-05-01,107977.81115768307,1,17.9544
2025-05-02,115915.09200059122,1,19.2742
2025-05-05,112221.89290555417,1,18.6601
2025-05-06,107040.82952764435,1,17.7986
2025-05-07,109521.00426594964,1,18.211
2025-05-08,110844.08487319302,1,18.431
2025-05-09,112221.89290555417,1,18.6601
2025-05-12,125395.56595176595,1,20.8506
2025-05-13,134545.26975112985,1,22.372
2025-05-14,135757.69270758558,1,22.5736
2025-05-15,134876.03990294068,1,22.427
2025-05-16,134820.71107754688,1,22.4178
2025-05-19,133663.61694648495,1,22.2254
2025-05-20,133663.61694648495,1,22.2254
2025-05-21,131128.11338278584,1,21.8038
2025-05-22,137686.98479305682,1,22.8944
2025-05-23,131238.16963329745,1,21.8221
2025-05-27,139175.4504762056,1,23.1419
2025-05-28,136694.67433762428,1,22.7294
2025-05-29,138073.08377026147,1,22.9586
2025-05-30,132561.25024054083,1,22.0421
2025-06-02,134655.32600164146,1,22.3903
2025-06-03,138568.63759770172,1,23.041
2025-06-04,145183.4392336425,1,24.1409
2025-06-05,146230.47711419285,1,24.315
2025-06-06,148821.30950328574,1,24.7458
2025-06-09,151742.3106439135,1,25.2315
2025-06-10,159624.26266142784,1,26.5421
2025-06-11,161718.93982280447,1,26.8904
2025-06-12,164750.59861421984,1,27.3945
2025-06-13,158081.06955316124,1,26.2855
2025-06-16,164805.32603933764,1,27.4036
2025-06-17,162049.7099746153,1,26.9454
2025-06-18,161332.84084559983,1,26.8262
2025-06-20,155490.23716406833,1,25.8547
2025-06-23,156317.16254359542,1,25.9922
2025-06-24,170991.3292784764,1,28.4322
2025-06-25,175107.3127675553,1,29.1166
2025-06-26,176664.93948244635,1,29.3756
2025-06-27,183951.50522670118,1,30.5872
2025-06-30,180503.07604400415,1,30.0138
2025-07-01,177499.0816652857,1,29.5143
2025-07-02,191961.55550300772,1,31.9191
2025-07-03,193574.5110432926,1,32.1873
2025-07-07,184396.54143095575,1,30.6612
2025-07-08,182060.7027588952,1,30.2728
2025-07-09,188457.19609464085,1,31.3364
2025-07-10,186010.09837151665,1,30.9295
2025-07-11,185787.58026938935,1,30.8925
2025-07-14,183006.1039927982,1,30.43
2025-07-15,196133.46921775644,1,32.6128
2025-07-16,197523.90665591403,1,32.844
2025-07-17,210929.72020866937,1,35.0731
2025-07-18,201195.45534101437,1,33.4545
2025-07-21,198803.68644328398,1,33.0568
2025-07-22,191627.77834981677,1,31.8636
2025-07-23,200917.00701321723,1,33.4082
2025-07-24,202808.41088129923,1,33.7227
2025-07-25,209372.09349377837,1,34.8141
2025-07-28,204866.40262583867,1,34.0649
2025-07-29,201974.2686984599,1,33.584
2025-07-30,204755.14357477502,1,34.0464
2025-07-31,202864.34110696905,1,33.732
2025-08-01,191294.00119662582,1,31.8081
2025-08-04,197857.683809105,1,32.8995
2025-08-05,187010.82843081345,1,31.0959
2025-08-06,184952.83668627398,1,30.7537
2025-08-07,205911.05342959973,0,33.7597
2025-08-08,203429.30573864133,1,33.51
2025-08-11,203541.61377075608,1,33.5285
2025-08-12,206742.08915080418,1,34.0557
2025-08-13,202867.76557806766,1,33.4175
2025-08-14,201913.45084031433,1,33.2603
2025-08-15,197926.81923546307,1,32.6036
2025-08-18,201801.14280819957,1,33.2418
2025-08-19,187258.16325500683,1,30.8462
2025-08-20,180074.99335095505,0,29.764
2025-08-21,180074.99335095505,0,29.4218
2025-08-22,180074.99335095505,0,30.8962
2025-08-25,180074.99335095505,0,31.5233
2025-08-26,180074.99335095505,0,32.3076
2025-08-27,180074.99335095505,0,32.4731
2025-08-28,180074.99335095505,0,32.1041
2025-08-29,180074.99335095505,0,30.1895
2025-09-02,180074.99335095505,0,29.5143
2025-09-03,180074.99335095505,0,30.2913
2025-09-04,180074.99335095505,0,31.1977
2025-09-05,180074.99335095505,0,33.4175
2025-09-08,180074.99335095505,0,34.3424
2025-09-09,185775.52351885417,1,35.4986
2025-09-10,199328.77493747708,1,38.0884
2025-09-11,196859.69469216611,1,37.6166
2025-09-12,197586.07946971842,1,37.7554
2025-09-15,199957.81996818155,1,38.2086
2025-09-16,203055.94524419704,1,38.8006
2025-09-17,203588.173860026,1,38.9023
2025-09-18,212446.09082317422,1,40.5949
2025-09-19,206879.4086338201,1,39.5312
2025-09-22,218980.93716128313,1,41.8436
2025-09-23,235177.53837199288,1,44.9385
2025-09-24,231240.5119443807,1,44.1862
2025-09-25,225018.09479373484,1,42.9972
2025-09-26,219281.85304535556,1,41.9011
2025-09-29,219185.03663048008,1,41.8826
2025-09-30,228664.14864474826,1,43.6939
2025-10-01,243684.29958172786,1,46.564
2025-10-02,243392.8036731568,1,46.5083
2025-10-03,249566.5509503788,1,47.688
2025-10-06,267212.258392387,1,51.0598
2025-10-07,252385.7402851584,1,48.2267
2025-10-08,270420.28338258545,1,51.6728
2025-10-09,262156.3482079976,1,50.0937
2025-10-10,228469.4691510527,1,43.6567
2025-10-13,265851.0719324349,1,50.7997
2025-10-14,252142.91425001124,1,48.1803
2025-10-15,268427.43523206736,1,51.292
2025-10-16,258608.15743580426,1,49.4157
2025-10-17,249663.89069722657,1,47.7066
2025-10-20,253989.75278025758,1,48.5332
2025-10-21,248351.37411069844,1,47.4558
2025-10-22,239115.0881315774,1,45.6909
2025-10-23,242615.13236231913,1,46.3597
2025-10-24,248885.6960544166,1,47.5579
2025-10-27,254233.10214737707,1,48.5797
2025-10-28,259434.4986200658,1,49.5736
2025-10-29,265316.22665674443,1,50.6975
2025-10-30,262059.53179312215,1,50.0752
2025-10-31,257587.13675784713,1,49.2206
2025-11-03,264635.89509275457,1,50.5675
2025-11-04,246358.00262820808,1,47.0749
2025-11-05,245969.16697278924,1,47.0006
2025-11-06,237997.25103874478,1,45.4773
2025-11-07,230032.51184952524,0,44.6041
2025-11-10,230032.51184952524,0,47.27
2025-11-11,230032.51184952524,0,45.9417
2025-11-12,230032.51184952524,0,45.7745
2025-11-13,230032.51184952524,0,42.9693
2025-11-14,230032.51184952524,0,43.7867
2025-11-17,230032.51184952524,0,42.96
2025-11-18,230032.51184952524,0,41.7154
2025-11-19,230032.51184952524,0,42.9322
2025-11-20,230032.51184952524,0,41.5575
2025-11-21,230032.51184952524,0,40.7029
2025-11-24,230032.51184952524,0,43.4895
2025-11-25,230032.51184952524,0,43.5174
2025-11-26,230032.51184952524,0,45.1429
2025-11-28,230032.51184952524,0,45.5887
